CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
 74-79-3, L-ARGININE," &diams; ARGININE<br />&diams; ARGININE, L-<br />&diams; GUANIDINE AMINOVALERIC ACID<br />&diams; 1-AMINO-4-GUANIDOVALERIC ACID<br />&diams; L-ARGININE<br />&diams; 2-AMINO-5-((AMINOIMINOMETHYL)AMINO)PENTANOIC ACID, (S)-<br />&diams; 2-AMINO-5-GUANIDINOVALERIC ACID, (S)-<br />&diams; ARGININE, L-(+)-<br />&diams; AMINO-DELTA-GUANIDINOVALERIC ACID, L-ALPHA-<br />&diams; 5-((AMINOIMINOMETHYL)AMINO)-L-NORVALINE<br />&diams; N5-(AMINOIMINOMETHYL)-L-ORNITHINE", NUTRIENT SUPPLEMENT,,,,,,,172.32,,,,,,,,,,,,,,,,,,,,,,3819,18,25.0,,1438
 107-96-0, 3-MERCAPTOPROPIONIC ACID," &diams; 3-MERCAPTOPROPIONIC ACID<br />&diams; BETA-MERCAPTOPROPIONIC ACID<br />&diams; PROPANOIC ACID, 3-MERCAPTO-<br />&diams; PROPIONIC ACID, 3-MERCAPTO-<br />&diams; 3-MERCAPTOPROPANOIC ACID<br />&diams; 2-MERCAPTOETHANECARBOXYLIC ACID", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587,24,,,1936
 9000-11-7, CARBOXYMETHYL CELLULOSE," &diams; CARBOXYMETHYL CELLULOSE<br />&diams; CELLULOSE, CARBOXYMETHYL ETHER<br />&diams; CARBOXY METHYLCELLULOSE ETHER<br />&diams; CELLULOSE, CROSS-LINKED, ALKYLATED WITH EPICHLOROHYDRIN AND PROPYLENE OXIDE, CARBOXYMETHYLATED<br />&diams; GLYCOLIC ACID CELLULOSE ETHER"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> HUMECTANT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT",,,,,,,175.105,175.3,182.7,,,,,,,,,,,,,,,,,,,,2239,3,,,
 5320-75-2, CINNAMYL BENZOATE," &diams; CINNAMYL BENZOATE<br />&diams; 3-PHENYL-2-PROPEN-1-YL BENZOATE<br />&diams; 2-PROPEN-1-OL, 3-PHENYL-, BENZOATE<br />&diams; CINNAMYL ALCOHOL, BENZOATE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,4703,25,,,760
 146-17-8, RIBOFLAVIN 5'-PHOSPHATE, &diams; RIBOFLAVIN 5'-PHOSPHATE<br />&diams; FLAVIN MONONUCLEOTIDE<br />&diams; RIBOFLAVIN 5'-(DIHYDROGEN PHOSPHATE)<br />&diams; RIBOFLAVINE 5'-(DIHYDROGEN PHOSPHATE)<br />&diams; RIBOFLAVIN 5-PHOSPHATE, NUTRIENT SUPPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 50-14-6, VITAMIN D-2," &diams; ERGOCALCIFEROL<br />&diams; ERGOSTEROL, IRRADIATED<br />&diams; OLEOVITAMIN D<br />&diams; VIOSTEROL<br />&diams; VITAMIN D2<br />&diams; CALCIFEROL<br />&diams; 9,10-SECO(5Z,7E,22E)-5,7,10(19),22-ERGOSTATETRAEN-3-OL<br />&diams; 9,10-SECOERGOSTA-5,7,10(19),22-TETRAEN-3-OL, (3BETA,5Z,7E,22E)-<br />&diams; ERGOSTEROL, ACTIVATED", NUTRIENT SUPPLEMENT,,,,,,,172.379,184.195,,,,,,,,,,,,,,,,,,,,,,,,,
 328-50-7, 2-OXOPENTANEDIOIC ACID," &diams; 2-OXOGLUTARIC ACID<br />&diams; ALPHA-KETOGLUTARIC ACID<br />&diams; PENTANEDIOIC ACID, 2-OXO-<br />&diams; 2-OXOPENTANEDIOIC ACID<br />&diams; GLUTARIC ACID, 2-OXO-<br />&diams; ALPHA-OXOGLUTARIC ACID<br />&diams; ALPHA-OXOPENTANDIOIC ACID<br />&diams; 2-KETOGLUTARIC ACID<br />&diams; 2-OXO-1,5-PENTANEDIOIC ACID", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891,18,,,634
 99-76-3, METHYL P-HYDROXYBENZOATE," &diams; METHYLPARABEN<br />&diams; METHYL P-HYDROXYBENZOATE<br />&diams; BENZOIC ACID, 4-HYDROXY-, METHYL ESTER<br />&diams; METHYL 4-HYDROXYBENZOATE<br />&diams; BENZOIC ACID, P-HYDROXY-, METHYL ESTER"," ANTIMICROBIAL AGENT,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,181.23,184.149,,,,,,,,,,,,,,,,,,,,2710,3,,,
 51-67-2, TYRAMINE," &diams; TYRAMINE<br />&diams; PHENOL, 4-(2-AMINOETHYL)-<br />&diams; 4-(2-AMINOETHYL)PHENOL<br />&diams; PHENOL, P-(2-AMINOETHYL)-<br />&diams; (2-AMINOETHYL)PHENOL, P-<br />&diams; InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2<br />&diams; InChIKey: DZGWFCGJZKJUFP-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215,22,,,1590
 83-44-3, DESOXYCHOLIC ACID," &diams; DEOXYCHOLIC ACID<br />&diams; DIHYDROXYCHOLANOIC ACID<br />&diams; DESOXYCHOLIC ACID<br />&diams; 3,12-DIHYDROXYCHOLANIC ACID<br />&diams; 3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANIC ACID<br />&diams; 3ALPHA,12ALPHA-DIHYDROXYCHOLANIC ACID<br />&diams; CHOLAN-24-OIC ACID, 3,12-DIHYDROXY-, (3ALPHA,5BETA,12ALPHA)-<br />&diams; 3,12-DIHYDROXYCHOLAN-24-OIC ACID, (3ALPHA,5BETA,12ALPHA)-<br />&diams; 5BETA-CHOLAN-24-OIC ACID, 3ALPHA,12ALPHA-DIHYDROXY-<br />&diams; 3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLAN-24-OIC ACID", EMULSIFIER OR EMULSIFIER SALT,,,,,,,178.101,,,,,,,,,,,,,,,,,,,,,,,,,,
 121-44-8, TRIETHYLAMINE," &diams; TRIETHYLAMINE<br />&diams; ETHANAMINE, N,N-DIETHYL-<br />&diams; N,N-DIETHYLETHANAMINE<br />&diams; (DIETHYLAMINO)ETHANE", FLAVORING AGENT OR ADJUVANT,,,,,,,175.105,177.158,177.1585,,,,,,,,,,,,,,,,,,,,4246,22,,,1611
 109-60-4, PROPYL ACETATE," &diams; PROPYL ACETATE<br />&diams; PROPYL ETHANOATE<br />&diams; ACETIC ACID, PROPYL ESTER<br />&diams; 1-ACETOXYPROPANE<br />&diams; InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3<br />&diams; InChIKey: YKYONYBAUNKHLG-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,177.12,,,,,,,,,,,,,,,,,,,,,2925,3,,,126
 94-59-7, SAFROLE--PROHIBITED," &diams; SAFROLE<br />&diams; 4-ALLYL-1,2-METHYLENEDIOXYBENZENE<br />&diams; 1,3-BENZODIOXOLE, 5-(2-PROPENYL)-<br />&diams; 5-(2-PROPENYL)-1,3-BENZODIOXOLE<br />&diams; BENZENE, 4-ALLYL-1,2-(METHYLENEDIOXY)-<br />&diams; 4-ALLYL-1,2-(METHYLENEDIOXY)BENZENE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,189.18,,,,,,,
 64-04-0, PHENETHYLAMINE, &diams; PHENETHYLAMINE<br />&diams; BENZENEETHANAMINE<br />&diams; BETA-PHENYLETHYLAMINE<br />&diams; 1-AMINO-2-PHENYLETHANE<br />&diams; 2-AMINOETHYLBENZENE<br />&diams; 2-PHENYLETHYLAMINE, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3220,4,,,1589
 78-96-6, 1-AMINO-2-PROPANOL," &diams; 1-AMINO-2-PROPANOL<br />&diams; MONOISOPROPANOLAMINE<br />&diams; 2-PROPANOL, 1-AMINO-<br />&diams; 2-AMINO-1-METHYLETHANOL<br />&diams; 2-HYDROXY-1-PROPYLAMINE<br />&diams; 1-AMINO-2-PROPANOL, DL-<br />&diams; ALPHA-AMINOISOPROPYL ALCOHOL<br />&diams; BETA-AMINOISOPROPANOL<br />&diams; 1-AMINO-2-HYDROXYPROPANE<br />&diams; 1-METHYL-2-AMINOETHANOL<br />&diams; 1-AMINO-2-PROPANOL, (RS)-<br />&diams; THREAMINE<br />&diams; InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3<br />&diams; InChIKey:HXKKHQJGJAFBHI-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,175.105,176.17,176.18,176.21,,,,,,,,,,,,,,,,,,,3965,20,,,1591
 645-56-7, P-PROPYLPHENOL," &diams; 4-PROPYLPHENOL<br />&diams; DIHYDROCHAVICOL<br />&diams; PROPYLPHENOL, P-<br />&diams; PHENOL, 4-PROPYL-<br />&diams; PHENOL, P-PROPYL-<br />&diams; HYDROXYPROPYLBENZENE, P-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3649,12,,,696
 120-92-3, CYCLOPENTANONE, &diams; CYCLOPENTANONE<br />&diams; KETOCYCLOPENTANE<br />&diams; KETOPENTAMETHYLENE<br />&diams; ADIPIC KETONE, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910,19,20.0,,1101
 87-69-4," TARTARIC ACID, L"," &diams; TARTARIC ACID, L-<br />&diams; BUTANEDIOIC ACID, 2,3-DIHYDROXY-, (R-(R*,R*))-<br />&diams; 2,3-DIHYDROXYBUTANEDIOIC ACID, (R-(R*,R*))-<br />&diams; DEXTROTARTARIC ACID<br />&diams; ALPHA,BETA-DIHYDROXYSUCCINIC ACID, D-<br />&diams; TARTARIC ACID, L-(+)-"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT",,,,,,,184.1099,,,,,,,,,,,,,,,,,,,,," 163.110 ,  163.111 ,  163.112",3044,3,25.0,,621
 526-95-4, D-GLUCONIC ACID," &diams; GLUCONIC ACID, D-<br />&diams; DEXTRONIC ACID<br />&diams; MALTONIC ACID<br />&diams; GLYCONIC ACID<br />&diams; GLYCOGENIC ACID<br />&diams; PENTAHYDROXYCAPROIC ACID<br />&diams; D-GLUCONIC ACID", NUTRIENT SUPPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 112-72-1, MYRISTYL ALCOHOL, &diams; MYRISTYL ALCOHOL<br />&diams; ALCOHOL(C14)<br />&diams; TETRADECYL ALCOHOL<br />&diams; 1-TETRADECANOL<br />&diams; C14 ALCOHOL<br />&diams; FATTY ALCOHOL(C14)<br />&diams; TETRADECANOL<br />&diams; 1-HYDROXYTETRADECANE," FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT",,,,,,,172.864,175.105,175.3,176.18,176.2,176.21,177.12,177.139,178.348,,,,,,,,,,,,,,,,,,
 64-17-5, ETHYL ALCOHOL, &diams; ETHYL ALCOHOL<br />&diams; ETHANOL<br />&diams; ETHYL ALCOHOL USP<br />&diams; METHYLCARBINOL<br />&diams; GRAIN ALCOHOL<br />&diams; HYDROXYETHANE<br />&diams; ETHYL HYDROXIDE<br />&diams; 1-HYDROXYETHANE," ANTIMICROBIAL AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SOLVENT OR VEHICLE",73.3,73.345,73.615,,,,172.34,172.56,172.58,175.105,176.18,176.2,177.12,177.165,178.101,184.1293,,,,,,,,,,,," 169.175 ,  169.176 ,  169.177 ,  169.181",2419,3,,,41
 1309-42-8, MAGNESIUM HYDROXIDE, &diams; MAGNESIUM HYDROXIDE<br />&diams; MAGNESIUM HYDROXIDE (MG(OH)2)," COLOR OR COLORING ADJUNCT,<br /> DRYING AGENT,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID",,,,,,,176.18,176.21,184.1428,,,,,,,,,,,,,,,,,,,155.17,,,,,
 106-97-8, N-BUTANE, &diams; BUTANE<br />&diams; LIQUEFIED PETROLEUM GAS, PROPELLANT,,,,,,,173.35,184.1165,,,,,,,,,,,,,,,,,,,,,,,,,
 104-93-8, P-METHYLANISOLE," &diams; 4-METHYLANISOLE<br />&diams; CRESYL METHYL ETHER, P-<br />&diams; METHOXYTOLUENE, P-<br />&diams; METHYL P-CRESOL<br />&diams; METHYL P-CRESYL ETHER<br />&diams; METHYL P-TOLYL ETHER<br />&diams; 4-METHOXYTOLUENE<br />&diams; BENZENE, 1-METHOXY-4-METHYL-<br />&diams; 1-METHOXY-4-METHYLBENZENE<br />&diams; ANISOLE, P-METHYL-<br />&diams; METHYL P-METHYLPHENYL ETHER", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2681,3,,,1243
 110-17-8, FUMARIC ACID," &diams; FUMARIC ACID<br />&diams; BOLETIC ACID<br />&diams; BUTENEDIOIC ACID, TRANS-<br />&diams; ALLOMALEIC ACID<br />&diams; ALLOMALENIC ACID<br />&diams; ETHYLENE-1,2-DICARBOXYLIC ACID, TRANS-ALPHA,BETA-<br />&diams; 1,2-ETHYLENEDICARBOXYLIC ACID, TRANS-<br />&diams; 2-BUTENEDIOIC ACID (E)-"," ANTIMICROBIAL AGENT,<br /> CURING OR PICKLING AGENT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT",,,,,,,172.35,172.808,172.81,172.822,175.105,175.3,175.32,176.17,177.12,177.242,,,,,,,,,,,,,2488,3,25.0,,618
 81-24-3, TAUROCHOLIC ACID," &diams; TAUROCHOLIC ACID<br />&diams; N-CHOLOYLTAURINE<br />&diams; CHOLAIC ACID<br />&diams; ETHANESULFONIC ACID, 2-(((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)AMINO)-<br />&diams; 2-(((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)AMINO)ETHANESULFONIC ACID<br />&diams; TAURINE, N-CHOLOYL-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 507-70-0, BORNEOL," &diams; BORNEOL<br />&diams; BAROS<br />&diams; BORNEOCAMPHOR<br />&diams; BORNYL ALCOHOL<br />&diams; CAMPHOL<br />&diams; 2-BORNANOL, ENDO-<br />&diams; 2-CAMPHANOL, ENDO-<br />&diams; 2-HYDROXYCAMPHANE, ENDO-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-OL<br />&diams; 2-BORNANOL<br />&diams; 2-CAMPHANOL<br />&diams; 2-HYDROXYBORNANE<br />&diams; 2-HYDROXYCAMPHANE<br />&diams; BICYCLO(2.2.1)HEPTAN-2-OL, 1,7,7-TRIMETHYL-, (1R,2S,4R)-REL-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-OL, ENDO-<br />&diams; 2-HYDROXY-1,7,7-TRIMETHYLNORBORNANE, ENDO-<br />&diams; 2-ENDO-BORNYL ALCOHOL<br />&diams; BORNEOL, (+-)-<br />&diams; BORNEOL, DL-<br />&diams;"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2157,3,,,1385
 7664-93-9, SULFURIC ACID, &diams; SULFURIC ACID<br />&diams; OIL OF VITREOL<br />&diams; DIHYDROGEN SULFATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> PH CONTROL AGENT,<br /> PROCESSING AID",73.85,,,,,,172.56,172.892,173.385,176.17,176.18,176.21,177.28,178.101,179.45,184.1095,,,,,,,,,,,,,,,,,
 551-08-6, 3-BUTYLIDENEPHTHALIDE," &diams; 3-BUTYLIDENEPHTHALIDE<br />&diams; LIGUSTICUM LACTONE<br />&diams; PHTHALIDE, 3-BUTYLIDENE-<br />&diams; 1(3H)-ISOBENZOFURANONE, 3-BUTYLIDENE-<br />&diams; 3-BUTYLIDENE-1(3H)-ISOBENZOFURANONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333," 6, 7",,,1170
 5837-78-5, ETHYL TIGLATE," &diams; ETHYL TIGLATE<br />&diams; ETHYL TRANS-2-METHYL-2-BUTENOATE<br />&diams; ETHYL TRANS-2-METHYLCROTONATE<br />&diams; 2-BUTENOIC ACID, 2-METHYL-, ETHYL ESTER, (E)-<br />&diams; ETHYL 2-METHYL-2-BUTENOATE, (E)-<br />&diams; CROTONIC ACID, 2-METHYL-, ETHYL ESTER, (E)-<br />&diams; ETHYL 2-METHYLCROTONATE, (E)-<br />&diams; TIGLIC ACID, ETHYL ESTER<br />&diams; ETHYL ALPHA-METHYLCROTONATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2460,3,25.0,,1824
 100-06-1, ACETANISOLE," &diams; ACETANISOLE<br />&diams; 4'-METHOXYACETOPHENONE<br />&diams; METHOXYACETOPHENONE, P-<br />&diams; ACETYLANISOLE, P-<br />&diams; METHYL 4-METHOXYPHENYL KETONE<br />&diams; NOVATONE<br />&diams; 4-ACETYLANISOLE<br />&diams; ETHANONE, 1-(4-METHOXYPHENYL)-<br />&diams; 1-(4-METHOXYPHENYL)ETHANONE<br />&diams; ACETOPHENONE, 4'-METHOXY-<br />&diams; ANISYL, P-, METHYL KETONE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2005,3,25.0,,810
 110-91-8, MORPHOLINE," &diams; MORPHOLINE<br />&diams; TETRAHYDRO-1,4-OXAZINE<br />&diams; TETRAHYDRO-2H-1,4-OXAZINE", BOILER WATER ADDITIVE,,,,,,,173.31,175.105,176.18,176.21,178.33,,,,,,,,,,,,,,,,,,,,,,
 67-66-3, CHLOROFORM," &diams; CHLOROFORM<br />&diams; TRICHLOROMETHANE<br />&diams; METHANE, TRICHLORO-<br />&diams; trichloroform", PROCESSING AID,,,,,,,175.105,177.158,177.1585,,,,,,,,,,,,,,,,,,,,,,,,
 97-53-0, EUGENOL," &diams; EUGENOL<br />&diams; 2-METHOXY-4-(2-PROPENYL)PHENOL<br />&diams; CARYOPHYLLIC ACID<br />&diams; EUGENIC ACID<br />&diams; 1-HYDROXY-2-METHOXY-4-PROPENYLBENZENE<br />&diams; 2-METHOXY-4-(2-PROPEN-1-YL)PHENOL<br />&diams; 2-METHOXY-4-ALLYLPHENOL<br />&diams; 4-ALLYL-2-METHOXYPHENOL<br />&diams; 4-ALLYLCATECHOL 2-METHYL ETHER<br />&diams; 4-ALLYLGUAIACOL<br />&diams; 4-HYDROXY-3-METHOXY-1-ALLYLBENZENE<br />&diams; 4-HYDROXY-3-METHOXYALLYLBENZENE<br />&diams; PHENOL, 2-METHOXY-4-(2-PROPENYL)-<br />&diams; PHENOL, 4-ALLYL-2-METHOXY-", FLAVORING AGENT OR ADJUVANT,,,,,,,177.28,184.1257,,,,,,,,,,,,,,,,,,,,,2467,3,,,1529
 67-64-1, ACETONE, &diams; ACETONE<br />&diams; DIMETHYL KETONE<br />&diams; BETA-KETOPROPANE<br />&diams; PYROACETIC ETHER<br />&diams; 2-OXOPROPANE<br />&diams; 2-PROPANONE<br />&diams; METHYL KETONE<br />&diams; DIMETHYLFORMALDEHYDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE,<br /> WASHING OR SURFACE REMOVAL AGENT",73.1,73.3,73.345,73.615,,,173.21,175.105,175.32,176.18,176.3,177.26,,,,,,,,,,,,,,,,,3326,6,,,139
 623-37-0, 3-HEXANOL, &diams; 3-HEXANOL<br />&diams; ETHYL PROPYL CARBINOL<br />&diams; 3-HEXYL ALCOHOL, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3351,6,,,282
 65-85-0, BENZOIC ACID, &diams; BENZOIC ACID<br />&diams; BENZENECARBOXYLIC ACID<br />&diams; BENZENEFORMIC ACID<br />&diams; CARBOXYBENZENE<br />&diams; DRACYLIC ACID<br />&diams; PHENYLCARBOXYLIC ACID<br />&diams; PHENYLFORMIC ACID<br />&diams; BENZENEMETHANOIC ACID," ANTIMICROBIAL AGENT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT",,,,,,,175.3,177.139,184.1021,,,,,,,,,,,,,,,,,,,166.110,2131,3,,,850
 622-78-6, BENZYL ISOTHIOCYANATE," &diams; BENZYL ISOTHIOCYANATE<br />&diams; BENZYL MUSTARD OIL<br />&diams; BENZENE, (ISOTHIOCYANATOMETHYL)-<br />&diams; (ISOTHIOCYANATOMETHYL)BENZENE<br />&diams; ISOTHIOCYANIC ACID, BENZYL ESTER<br />&diams; PHENYLMETHYL ISOTHIOCYANATE<br />&diams; InChI=1S/C8H7NS/c10-7-9-6-8-4-2-1-3-5-8/h1-5H,6H2<br />&diams; InChIKey: MDKCFLQDBWCQCV-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4428,23,,,1562
 79-31-2, ISOBUTYRIC ACID," &diams; ISOBUTYRIC ACID<br />&diams; ISOPROPYLFORMIC ACID<br />&diams; 2-METHYLPROPANOIC ACID<br />&diams; 2-METHYLPROPIONIC ACID<br />&diams; PROPANOIC ACID, 2-METHYL-<br />&diams; DIMETHYLACETIC ACID<br />&diams; METHYLPROPIONIC ACID, ALPHA-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2222,3,25.0,,253
 123-38-6, PROPIONALDEHYDE," &diams; PROPANAL<br />&diams; PROPIONALDEHYDE<br />&diams; PROPYL ALDEHYDE<br />&diams; METHYLACETALDEHYDE<br />&diams; InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3<br />&diams; InChIKey: NBBJYMSMWIIQGU-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2923,3,25.0,,83
 90-02-8, SALICYLALDEHYDE," &diams; SALICYLALDEHYDE<br />&diams; SALICYLIC ALDEHYDE<br />&diams; HYDROXYBENZALDEHYDE, O-<br />&diams; 2-HYDROXYBENZALDEHYDE<br />&diams; BENZALDEHYDE, 2-HYDROXY-<br />&diams; SALICYLAL<br />&diams; 2-FORMYLPHENOL<br />&diams; FORMYLPHENOL, O-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3004,3,,,897
 520-33-2," 5,7-DIHYDROXY-2-(3-HYDROXY-4-METHXY-PHENYL)-CHROMAN-4-ONE"," &diams; HESPERETIN<br />&diams; NEOHESPERIDIN AGLYCONE<br />&diams; ERIODICTYOL 4'-MONOMETHYL ETHER<br />&diams; 3',5,7-TRIHYDROXY-4'-METHOXYFLAVANONE<br />&diams; 5,7,3'-TRIHYDROXY-4'-METHOXYFLAVANONE<br />&diams; FLAVANONE, 3',5,7-TRIHYDROXY-4'-METHOXY-<br />&diams; 4H-1-BENZOPYRAN-4-ONE, 2,3-DIHYDRO-5,7-DIHYDROXY-2-(3-HYDROXY-4-METHOXYPHENYL)-, (S)-<br />&diams; 2,3-DIHYDRO-5,7-DIHYDROXY-2-(3-HYDROXY-4-METHOXYPHENYL)-4H-1-BENZOPYRAN-4-ONE, (S)-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4313,23,26.0,,2024
 108-29-2, GAMMA-VALEROLACTONE," &diams; GAMMA-VALEROLACTONE<br />&diams; DIHYDRO-5-METHYL-2(3H)-FURANONE<br />&diams; GAMMA-METHYL-GAMMA-BUTYROLACTONE<br />&diams; GAMMA-PENTALACTONE<br />&diams; PENTANOLIDE-1,4<br />&diams; VALEROLACTONE<br />&diams; GAMMA-VALERYLLACTONE<br />&diams; 4-HYDROXYPENTANOIC ACID GAMMA-LACTONE<br />&diams; 4-METHYL-4-HYDROXYBUTANOIC ACID LACTONE<br />&diams; 4-VALEROLACTONE<br />&diams; VALEROLACTONE, GAMMA-<br />&diams; 2(3H)-FURANONE, DIHYDRO-5-METHYL-<br />&diams; 4-HYDROXYVALERIC ACID GAMMA-LACTONE<br />&diams; 5-METHYLTETRAHYDRO-2-FURANONE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3103,3,25.0,,220
 98-85-1, ALPHA-METHYLBENZYL ALCOHOL," &diams; ALPHA-METHYLBENZYL ALCOHOL<br />&diams; ALPHA-PHENYLETHYL ALCOHOL<br />&diams; BENZENEMETHANOL, ALPHA-METHYL-<br />&diams; ALPHA-METHYLBENZENEMETHANOL<br />&diams; BENZYL ALCOHOL, ALPHA-METHYL-<br />&diams; ALPHA-HYDROXYETHYLBENZENE<br />&diams; METHYLPHENYLCARBINOL<br />&diams; PHENYLMETHYLCARBINOL<br />&diams; PHENETHYL ALCOHOL, SEC-<br />&diams; STYRALYL ALCOHOL<br />&diams; 1-PHENYLETHYL ALCOHOL<br />&diams; 1-PHENYLETHANOL<br />&diams; 1-PHENYL-1-HYDROXYETHANE<br />&diams; 1-PHENYLETHAN-1-OL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2685,3,,,799
 91-22-5, QUINOLINE--NLFG," &diams; QUINOLINE<br />&diams; CHINOLEINE<br />&diams; BENZO(B)PYRIDINE<br />&diams; 1-BENZAZINE<br />&diams; 2,3-BENZOPYRIDINE<br />&diams; 1-AZANAPHTHALENE<br />&diams; LEUCOLINE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NLFG-3470,9,27.0," No longer FEMA GRAS (GRAS Pub. 27, 2015)",
 127-17-3, PYRUVIC ACID," &diams; PYRUVIC ACID<br />&diams; ACETYLFORMIC ACID<br />&diams; ALPHA-KETOPROPIONIC ACID<br />&diams; PYRORACEMIC ACID<br />&diams; 2-KETOPROPIONIC ACID<br />&diams; 2-OXOPROPANOIC ACID<br />&diams; 2-OXOPROPIONIC ACID<br />&diams; PROPANOIC ACID, 2-OXO-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2970,3,25.0,,936
